RowNumber;CustomerId;Surname;CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited;Frecuencia de compra Mes;CantidadcompraPromedio;Compra_MasResalizada;#¿NOMBRE?;puede acceder;es activo ;Salario Estimado;Numero De producto;Score;Ternuere;Edad;Suma;75%Salary;;;;;;;;;;;;;;;;;;
1076;15762937;Chiganu;743;Germany;Female;32;6;140348,56;2;1;1;163254,39;0;5;21223,0707;10;VERDADERO;0;3;2,5;2,00;2;2,5;3;15;106115,3535;;;;;;;;;;;;;;;;;;
1077;15750929;Burgess;702;Spain;Male;39;8;0;2;1;0;99654,13;0;4;12955,0369;1;VERDADERO;0;1;3;2,00;2,5;2;3;13,5;64775,1845;;;;;;;;;;;;;;;;;;
1078;15729832;Cheng;658;France;Male;29;3;145512,84;1;1;0;20207,02;0;4;7880,7378;9;VERDADERO;0;1;3,5;1,00;2,5;3;3;14;13134,563;;;;;;;;;;;;;;;;;;
1079;15633650;Woods;677;Germany;Female;41;8;146720,98;2;1;1;4195,84;0;6;818,1888;6;VERDADERO;0;3;4;2,00;2,5;2;2;15,5;2727,296;;;;;;;;;;;;;;;;;;
1080;15748856;Liang;664;France;Male;32;10;107209,73;1;1;1;112340,2;0;5;29208,452;10;VERDADERO;0;3;3;1,00;2,5;2;3;14,5;73021,13;;;;;;;;;;;;;;;;;;
1081;15589195;Bluett;766;Germany;Female;38;7;130933,74;1;0;1;2035,94;0;6;397,0083;5;VERDADERO;0;3;4;1,00;2;2,5;3;15,5;1323,361;;;;;;;;;;;;;;;;;;
1082;15699911;Chapman;461;Spain;Female;35;8;0;1;1;0;132295,95;0;3;8599,23675;1;VERDADERO;0;1;2,5;1,00;3,5;2;3;13;85992,3675;;;;;;;;;;;;;;;;;;
1083;15663438;Andrejew;688;Spain;Male;36;0;89772,3;1;1;0;177383,68;1;0;57649,696;6;FALSO;1;1;2,5;1,00;2,5;3;3;14;115299,392;;;;;;;;;;;;;;;;;;
1084;15692583;Udobata;678;France;Female;32;5;0;2;1;0;90284,47;0;5;17605,47165;12;VERDADERO;0;1;3;2,00;2,5;3;3;14,5;58684,9055;;;;;;;;;;;;;;;;;;
1085;15591257;Ejimofor;796;France;Male;24;8;0;2;1;0;61349,37;0;3;3987,70905;11;VERDADERO;0;1;3;2,00;2;2;3;13;39877,0905;;;;;;;;;;;;;;;;;;
1086;15646513;Spyer;803;France;Male;42;5;0;1;1;0;196466,83;1;0;63851,71975;8;FALSO;1;1;2;1,00;2;3;2;12;127703,4395;;;;;;;;;;;;;;;;;;
1087;15708063;Walker;712;France;Male;36;2;100749,5;3;0;0;70758,37;1;5;22996,47025;3;VERDADERO;0;1;3;3,00;2,5;2,5;3;15;45992,9405;;;;;;;;;;;;;;;;;;
1088;15696098;Palermo;498;France;Female;31;10;0;2;1;0;13892,57;0;6;5418,1023;2;VERDADERO;0;1;4;2,00;3,5;2;3;15,5;9030,1705;;;;;;;;;;;;;;;;;;
1089;15645517;Philip;850;Spain;Male;22;2;0;2;1;1;9684,52;0;8;629,4938;2;VERDADERO;0;3;4;2,00;1;2,5;5;17,5;6294,938;;;;;;;;;;;;;;;;;;
1090;15649744;Fallaci;628;France;Female;51;3;123981,31;2;1;1;40546,15;0;5;15812,9985;8;VERDADERO;0;3;3,5;2,00;2,5;3;1;15;26354,9975;;;;;;;;;;;;;;;;;;
1091;15604304;Perry;539;Germany;Female;34;4;91622,42;1;1;1;136603,42;0;6;17758,4446;9;VERDADERO;0;3;2,5;1,00;3,5;3;3;16;88792,223;;;;;;;;;;;;;;;;;;
1092;15784092;Henderson;732;France;Male;36;7;126195,81;1;1;1;133172,48;0;4;25968,6336;7;VERDADERO;0;3;2,5;1,00;2;2,5;3;14;86562,112;;;;;;;;;;;;;;;;;;
1093;15585198;Bergamaschi;715;France;Male;41;4;94267,9;1;0;1;152821,12;1;4;39733,4912;1;VERDADERO;0;3;2,5;1,00;2,5;3;2;14;99333,728;;;;;;;;;;;;;;;;;;
1094;15624347;Fokine;651;France;Male;40;4;0;2;1;1;147715,83;0;5;9601,52895;14;VERDADERO;0;3;2,5;2,00;2,5;3;2;15;96015,2895;;;;;;;;;;;;;;;;;;
1095;15621687;Mackay;813;France;Male;34;0;0;2;1;0;43169,15;0;5;14029,97375;8;VERDADERO;0;1;3,5;2,00;2;3;3;14,5;28059,9475;;;;;;;;;;;;;;;;;;
1096;15689081;Wu;692;France;Male;29;4;0;1;1;0;76755,99;1;0;9978,2787;6;FALSO;1;1;3;1,00;2,5;3;3;14,5;49891,3935;;;;;;;;;;;;;;;;;;
1097;15813168;Maslova;756;Germany;Female;39;3;100717,85;3;1;1;73406,04;1;0;14314,1778;8;FALSO;1;3;3;3,00;2;3;3;18;47713,926;;;;;;;;;;;;;;;;;;
1098;15604295;Wei;543;France;Male;36;6;0;2;1;0;176728,28;0;5;68924,0292;1;VERDADERO;0;1;2,5;2,00;3,5;2,5;3;14,5;114873,382;;;;;;;;;;;;;;;;;;
1099;15724127;McLean;790;France;Female;26;4;141581,71;2;0;0;98309,27;0;4;19170,30765;13;VERDADERO;0;1;3;2,00;2;3;3;14;63901,0255;;;;;;;;;;;;;;;;;;
1100;15673055;Sung;494;Spain;Male;38;7;0;2;1;1;6203,66;0;8;806,4758;12;VERDADERO;0;3;4;2,00;3,5;2,5;3;18;4032,379;;;;;;;;;;;;;;;;;;
1101;15768201;Paterson;850;France;Female;39;2;148586,64;1;1;1;176791,27;0;3;57457,16275;2;VERDADERO;0;3;2,5;1,00;1;2,5;3;13;114914,3255;;;;;;;;;;;;;;;;;;
1102;15782219;Fanucci;703;Spain;Male;29;9;0;2;1;0;50679,48;0;4;3294,1662;1;VERDADERO;0;1;3;2,00;2,5;2;3;13,5;32941,662;;;;;;;;;;;;;;;;;;
1103;15746410;Thompson;432;Spain;Male;38;7;0;2;1;0;150580,88;0;5;19575,5144;12;VERDADERO;0;1;2,5;2,00;3,5;2,5;3;14,5;97877,572;;;;;;;;;;;;;;;;;;
1104;15780144;Tisdall;512;Germany;Female;32;2;123403,85;2;1;0;80120,19;0;5;26039,06175;11;VERDADERO;0;1;3;2,00;3,5;2,5;3;15;52078,1235;;;;;;;;;;;;;;;;;;
1105;15590476;Onochie;589;France;Male;28;7;0;2;1;0;151645,96;0;4;9856,9874;9;VERDADERO;0;1;2,5;2,00;2,5;2,5;3;13,5;98569,874;;;;;;;;;;;;;;;;;;
1106;15624293;Mironova;514;France;Female;46;3;106511,85;1;1;0;55072,32;0;4;3579,7008;7;VERDADERO;0;1;3;1,00;3,5;3;2;13,5;35797,008;;;;;;;;;;;;;;;;;;
1107;15618182;Ndubueze;678;France;Female;38;2;0;2;0;0;115068,99;0;4;14958,9687;5;VERDADERO;0;1;3;2,00;2,5;2,5;3;14;74794,8435;;;;;;;;;;;;;;;;;;
1108;15660316;Stephenson;420;Germany;Female;34;1;135549,9;1;0;0;149471,13;1;4;19431,2469;12;VERDADERO;0;1;2,5;1,00;3;3;3;13,5;97156,2345;;;;;;;;;;;;;;;;;;
1109;15678886;Golubev;679;Germany;Male;38;7;110555,37;2;1;0;46522,68;0;4;12095,8968;5;VERDADERO;0;1;3;2,00;2,5;2,5;3;14;30239,742;;;;;;;;;;;;;;;;;;
1110;15616330;Liao;595;France;Male;31;4;0;2;1;0;189995,86;0;4;49398,9236;14;VERDADERO;0;1;2,5;2,00;2,5;3;3;14;123497,309;;;;;;;;;;;;;;;;;;
1111;15592229;Mullan;713;France;Female;52;0;185891,54;1;1;1;46369,57;1;0;12056,0882;10;FALSO;1;3;3;1,00;2,5;3;1;14,5;30140,2205;;;;;;;;;;;;;;;;;;
1112;15798424;Glover;833;Germany;Male;59;1;130854,59;1;1;1;30722,52;1;0;5990,8914;9;FALSO;1;3;3,5;1,00;2;3;1;14,5;19969,638;;;;;;;;;;;;;;;;;;
1113;15714750;Northey;690;France;Female;42;3;92578,14;2;0;0;70810,6;0;4;27616,134;10;VERDADERO;0;1;3;2,00;2,5;3;2;13,5;46026,89;;;;;;;;;;;;;;;;;;
1114;15648800;Paterson;731;Germany;Female;21;8;132312,06;1;1;0;106663,46;1;0;27732,4996;9;FALSO;1;1;3;1,00;2;2;5;15;69331,249;;;;;;;;;;;;;;;;;;
1115;15626147;Maclean;608;France;Female;62;8;144976,5;1;0;0;175836,03;1;0;11429,34195;7;VERDADERO;0;1;2,5;1,00;2,5;2;1;10;114293,4195;;;;;;;;;;;;;;;;;;
1116;15626608;Howarde;479;Spain;Male;48;5;87070,23;1;0;1;85646,41;0;6;5567,01665;4;VERDADERO;0;3;3;1,00;3,5;3;2;15,5;55670,1665;;;;;;;;;;;;;;;;;;
1117;15723250;Teng;519;France;Male;42;8;0;2;1;1;101485,72;0;6;39579,4308;1;VERDADERO;0;3;3;2,00;3,5;2;2;15,5;65965,718;;;;;;;;;;;;;;;;;;
1118;15592583;Colman;731;France;Female;47;1;115414,19;3;0;0;191734,67;1;3;37388,26065;12;VERDADERO;0;1;2;3,00;2;3;2;13;124627,5355;;;;;;;;;;;;;;;;;;
1119;15759381;Johnson;617;Spain;Male;61;7;91070,43;1;1;1;101839,77;0;3;33097,92525;4;VERDADERO;0;3;3;1,00;2,5;2,5;1;13;66195,8505;;;;;;;;;;;;;;;;;;
1120;15585241;Butcher;756;Spain;Male;29;2;117412,19;2;1;0;4888,91;0;5;1906,6749;5;VERDADERO;0;1;4;2,00;2;2,5;3;14,5;3177,7915;;;;;;;;;;;;;;;;;;
1121;15589358;Stanley;848;Germany;Male;31;4;90018,45;2;1;0;193132,98;0;3;50214,5748;9;VERDADERO;0;1;2;2,00;2;3;3;13;125536,437;;;;;;;;;;;;;;;;;;
1122;15672704;Jackson;809;France;Female;24;4;0;2;1;0;193518,76;0;3;62893,597;5;VERDADERO;0;1;2;2,00;2;3;3;13;125787,194;;;;;;;;;;;;;;;;;;
1123;15789955;Hu;698;Germany;Male;56;1;112414,81;2;0;0;93982,02;1;3;12217,6626;5;VERDADERO;0;1;3;2,00;2,5;3;1;12,5;61088,313;;;;;;;;;;;;;;;;;;
1124;15596800;Hill;779;Germany;Male;33;1;158456,76;1;1;1;197000,92;1;0;76830,3588;14;FALSO;1;3;2;1,00;2;3;3;15;128050,598;;;;;;;;;;;;;;;;;;
1125;15627305;Pan;606;Spain;Male;35;7;0;1;1;0;106837,06;1;0;13888,8178;12;FALSO;1;1;3;1,00;2,5;2,5;3;14;69444,089;;;;;;;;;;;;;;;;;;
1126;15645316;Han;612;Germany;Female;58;1;149641,53;1;1;1;115161,28;0;4;29941,9328;10;VERDADERO;0;3;3;1,00;2,5;3;1;13,5;74854,832;;;;;;;;;;;;;;;;;;
1127;15593973;Wilkie;663;Spain;Female;33;8;122528,18;1;1;0;196260,3;0;2;76541,517;12;VERDADERO;0;1;2;1,00;2,5;2;3;11,5;127569,195;;;;;;;;;;;;;;;;;;
1128;15647301;Bray;549;Germany;Female;45;3;143734,01;2;1;1;96404,38;0;7;25065,1388;14;VERDADERO;0;3;3;2,00;3,5;3;2;16,5;62662,847;;;;;;;;;;;;;;;;;;
1129;15750258;Ann;675;France;Female;32;2;155663,31;1;1;0;97658,66;0;3;38086,8774;11;VERDADERO;0;1;3;1,00;2,5;2,5;3;13;63478,129;;;;;;;;;;;;;;;;;;
1130;15685309;Souter;669;France;Female;35;7;0;1;1;1;49108,23;1;0;3192,03495;15;FALSO;1;3;3;1,00;2,5;2,5;3;16;31920,3495;;;;;;;;;;;;;;;;;;
1131;15628205;Greco;571;Germany;Female;34;1;101736,66;1;0;1;195651,66;0;5;25434,7158;8;VERDADERO;0;3;2;1,00;2,5;3;3;14,5;127173,579;;;;;;;;;;;;;;;;;;
1132;15733974;Mao;500;Spain;Male;37;9;125822,21;1;1;0;111698;0;4;43562,22;3;VERDADERO;0;1;3;1,00;3,5;2;3;13,5;72603,7;;;;;;;;;;;;;;;;;;
1133;15762110;Anderson;628;France;Male;37;0;0;2;1;1;171707,93;0;6;11161,01545;15;VERDADERO;0;3;2,5;2,00;2,5;3;3;16;111610,1545;;;;;;;;;;;;;;;;;;
1134;15706899;Ma;559;France;Male;34;4;0;2;1;1;66721,98;0;7;8673,8574;1;VERDADERO;0;3;3;2,00;2,5;3;3;16,5;43369,287;;;;;;;;;;;;;;;;;;
1135;15732660;Black;769;France;Female;27;2;0;1;1;1;57876,05;0;5;15047,773;3;VERDADERO;0;3;3;1,00;2;2,5;3;14,5;37619,4325;;;;;;;;;;;;;;;;;;
1136;15656121;Medvedeva;733;Germany;Male;31;6;157791,07;2;0;0;177994,81;0;3;57848,31325;4;VERDADERO;0;1;2,5;2,00;2;2,5;3;13;115696,6265;;;;;;;;;;;;;;;;;;
1137;15614220;Benson;750;France;Male;22;5;0;2;0;1;105125,65;0;8;20499,50175;8;VERDADERO;0;3;3;2,00;2;3;5;18;68331,6725;;;;;;;;;;;;;;;;;;
1138;15645269;Duncan;583;France;Female;42;4;0;2;1;0;17439,66;0;5;1133,5779;1;VERDADERO;0;1;4;2,00;2,5;3;2;14,5;11335,779;;;;;;;;;;;;;;;;;;
1139;15698510;Onwudiwe;468;Germany;Male;42;9;181627,14;2;1;0;172668,39;0;3;11223,44535;6;VERDADERO;0;1;2,5;2,00;3,5;2;2;13;112234,4535;;;;;;;;;;;;;;;;;;
1140;15569247;Mitchell;727;Spain;Female;57;1;109679,72;1;0;1;753,37;0;5;244,84525;14;VERDADERO;0;3;4;1,00;2,5;3;1;14,5;489,6905;;;;;;;;;;;;;;;;;;
1141;15566251;Ferrari;618;France;Female;37;5;96652,86;1;1;0;98686,4;1;0;38487,696;3;FALSO;1;1;3;1,00;2,5;3;3;14,5;64146,16;;;;;;;;;;;;;;;;;;
1142;15716134;Russo;617;France;Male;40;5;190008,32;2;1;1;107047,92;0;6;41748,6888;9;VERDADERO;0;3;3;2,00;2,5;3;2;15,5;69581,148;;;;;;;;;;;;;;;;;;
1143;15763625;Hazon;793;Spain;Male;41;9;0;2;1;0;152153,74;0;2;9889,9931;7;VERDADERO;0;1;2,5;2,00;2;2;2;11,5;98899,931;;;;;;;;;;;;;;;;;;
1144;15605965;Henderson;630;France;Male;43;9;0;2;1;1;34338,04;0;5;6695,9178;2;VERDADERO;0;3;3,5;2,00;2,5;2;2;15;22319,726;;;;;;;;;;;;;;;;;;
1145;15694821;Hardy;765;Germany;Male;43;4;148962,76;1;0;1;173878,87;1;4;67812,7593;7;VERDADERO;0;3;2,5;1,00;2;3;2;13,5;113021,2655;;;;;;;;;;;;;;;;;;
1146;15601688;Piccio;546;France;Male;28;8;0;1;1;0;159254,29;0;3;20703,0577;6;VERDADERO;0;1;2,5;1,00;3,5;2;3;13;103515,2885;;;;;;;;;;;;;;;;;;
1147;15575581;Dickson;614;Germany;Female;30;3;131344,52;2;1;0;54776,64;0;5;7120,9632;10;VERDADERO;0;1;3;2,00;2,5;3;3;14,5;35604,816;;;;;;;;;;;;;;;;;;
1148;15671209;Holden;593;Germany;Female;29;5;101713,84;3;1;0;134594,99;0;5;34994,6974;12;VERDADERO;0;1;2,5;3,00;2,5;3;3;15;87486,7435;;;;;;;;;;;;;;;;;;
1149;15616529;Hsieh;613;Spain;Male;34;3;0;1;1;1;41724,72;0;6;8136,3204;1;VERDADERO;0;3;3,5;1,00;2,5;3;3;16;27121,068;;;;;;;;;;;;;;;;;;
1150;15773906;Doherty;655;France;Male;38;4;0;2;0;0;110527,71;0;5;28737,2046;4;VERDADERO;0;1;3;2,00;2,5;3;3;14,5;71843,0115;;;;;;;;;;;;;;;;;;
1151;15722993;Page;700;France;Female;27;6;137963,07;1;0;0;8996,79;0;4;2923,95675;6;VERDADERO;0;1;4;1,00;2,5;2,5;3;14;5847,9135;;;;;;;;;;;;;;;;;;
1152;15752463;Samuel;826;Spain;Female;29;4;129938,07;1;0;1;190200,53;0;4;24726,0689;6;VERDADERO;0;3;2;1,00;2;3;3;14;123630,3445;;;;;;;;;;;;;;;;;;
1153;15589754;Malloy;652;Germany;Male;45;2;151421,44;1;0;1;115333,43;0;4;29986,6918;1;VERDADERO;0;3;3;1,00;2,5;2,5;2;14;74966,7295;;;;;;;;;;;;;;;;;;
1154;15669899;Fitts;755;Germany;Female;45;7;135643;1;0;0;143619,52;1;1;46676,344;2;VERDADERO;0;1;2,5;1,00;2;2,5;2;11;93352,688;;;;;;;;;;;;;;;;;;
1155;15766887;Iadanza;538;Spain;Male;39;2;122773,5;2;1;1;58467,08;0;7;15201,4408;8;VERDADERO;0;3;3;2,00;3,5;2,5;3;17;38003,602;;;;;;;;;;;;;;;;;;
1156;15768006;Wu;729;France;Male;34;3;152303,8;1;1;0;12128,69;0;5;788,36485;8;VERDADERO;0;1;4;1,00;2,5;3;3;14,5;7883,6485;;;;;;;;;;;;;;;;;;
1157;15741295;Yefimova;615;France;Male;49;3;0;2;1;1;49872,33;0;6;6483,4029;7;VERDADERO;0;3;3;2,00;2,5;3;2;15,5;32417,0145;;;;;;;;;;;;;;;;;;
1158;15811327;Pan;700;Spain;Male;54;1;79415,67;1;0;1;139735,54;0;3;45414,0505;7;VERDADERO;0;3;2,5;1,00;2,5;3;1;13;90828,101;;;;;;;;;;;;;;;;;;
1159;15690007;Ts'ui;434;Germany;Female;58;9;125801,03;2;1;0;60891,8;1;0;7915,934;2;FALSO;1;1;3;2,00;3,5;2;1;13,5;39579,67;;;;;;;;;;;;;;;;;;
1160;15690664;Liang;729;Spain;Male;37;10;0;2;1;0;100862,54;0;4;13112,1302;4;VERDADERO;0;1;3;2,00;2,5;2;3;13,5;65560,651;;;;;;;;;;;;;;;;;;
1161;15719348;Tsao;513;France;Male;35;8;0;1;1;0;76640,29;1;0;14944,85655;14;FALSO;1;1;3;1,00;3,5;2;3;14,5;49816,1885;;;;;;;;;;;;;;;;;;
1162;15781802;Abramov;755;France;Male;41;6;104817,41;1;1;0;126013,58;1;0;32763,5308;2;FALSO;1;1;3;1,00;2;2,5;2;12,5;81908,827;;;;;;;;;;;;;;;;;;
1163;15752731;Millar;615;France;Female;30;9;0;1;1;0;87347,82;0;3;34065,6498;9;VERDADERO;0;1;3;1,00;2,5;2;3;12,5;56776,083;;;;;;;;;;;;;;;;;;
1164;15600997;Demuth;747;Germany;Female;32;5;67495,04;2;0;1;77370,37;0;6;30174,4443;12;VERDADERO;0;3;3;2,00;2;3;3;16;50290,7405;;;;;;;;;;;;;;;;;;
1165;15750776;Genovese;850;France;Female;36;0;164850,54;1;1;1;62722,44;0;4;12230,8758;11;VERDADERO;0;3;3;1,00;1;3;3;14;40769,586;;;;;;;;;;;;;;;;;;
1166;15723907;Lawless;712;Germany;Female;49;5;154776,42;2;0;0;196257,68;0;3;76540,4952;3;VERDADERO;0;1;2;2,00;2,5;3;2;12,5;127567,492;;;;;;;;;;;;;;;;;;
1167;15633419;Brooks;622;Germany;Female;28;1;143124,63;2;1;0;81723,8;0;5;10624,094;4;VERDADERO;0;1;3;2,00;2,5;3;3;14,5;53120,47;;;;;;;;;;;;;;;;;;
1168;15702430;Ignatyeva;548;France;Female;35;10;0;1;1;1;31299,71;0;6;10172,40575;9;VERDADERO;0;3;3,5;1,00;3,5;2;3;16;20344,8115;;;;;;;;;;;;;;;;;;
1169;15710456;Balmain;607;France;Female;27;2;0;2;1;0;63495,86;0;4;12381,6927;13;VERDADERO;0;1;3;2,00;2,5;2,5;3;14;41272,309;;;;;;;;;;;;;;;;;;
1170;15650351;Millar;653;France;Female;38;8;102133,38;1;1;1;166520,96;0;4;21647,7248;5;VERDADERO;0;3;2,5;1,00;2,5;2;3;14;108238,624;;;;;;;;;;;;;;;;;;
1171;15590820;Ecuyer;699;Spain;Male;26;6;79932,41;1;0;0;150242,44;0;3;19531,5172;3;VERDADERO;0;1;2,5;1,00;2,5;2,5;3;12,5;97657,586;;;;;;;;;;;;;;;;;;
1172;15640454;Parkhill;693;Germany;Male;40;0;120711,73;1;0;0;27345,18;1;3;10664,6202;9;VERDADERO;0;1;3,5;1,00;2,5;3;2;13;17774,367;;;;;;;;;;;;;;;;;;
1173;15697789;Li Fonti;647;Germany;Female;43;3;122717,53;2;1;1;87000,39;0;6;28275,12675;13;VERDADERO;0;3;3;2,00;2,5;3;2;15,5;56550,2535;;;;;;;;;;;;;;;;;;
1174;15808182;Beneventi;478;Spain;Female;36;3;92363,3;2;1;0;44912,7;0;6;11677,302;11;VERDADERO;0;1;3,5;2,00;3,5;3;3;16;29193,255;;;;;;;;;;;;;;;;;;
1175;15588670;Despeissis;705;Spain;Female;40;5;203715,15;1;1;0;179978,68;1;0;46794,4568;15;FALSO;1;1;2,5;1,00;2,5;3;2;13;116986,142;;;;;;;;;;;;;;;;;;
1176;15721292;Atkins;719;Spain;Male;39;5;0;2;1;0;145759,7;0;4;56846,283;5;VERDADERO;0;1;2,5;2,00;2,5;3;3;14;94743,805;;;;;;;;;;;;;;;;;;
1177;15604217;Williams;726;France;Male;34;9;0;2;0;0;14121,61;0;5;1835,8093;11;VERDADERO;0;1;4;2,00;2,5;2;3;14,5;9179,0465;;;;;;;;;;;;;;;;;;
1178;15651369;Wright;626;France;Male;21;1;0;2;1;0;66232,23;0;7;8610,1899;7;VERDADERO;0;1;3;2,00;2,5;3;5;16,5;43050,9495;;;;;;;;;;;;;;;;;;
1179;15782454;Hancock;552;France;Male;49;4;0;1;1;1;190296,76;1;0;74215,7364;4;FALSO;1;3;2;1,00;2,5;3;2;14,5;123692,894;;;;;;;;;;;;;;;;;;
1180;15814032;Hsieh;807;Germany;Female;31;1;93460,47;2;0;0;172782,69;0;4;44923,4994;15;VERDADERO;0;1;2,5;2,00;2;3;3;13,5;112308,7485;;;;;;;;;;;;;;;;;;
1181;15570326;Wilkins;621;France;Male;34;6;0;2;1;1;99128,13;0;6;19329,98535;14;VERDADERO;0;3;3;2,00;2,5;2,5;3;16;64433,2845;;;;;;;;;;;;;;;;;;
1182;15624428;Longo;651;Germany;Female;24;7;40224,7;1;1;1;178341,33;0;5;11592,18645;8;VERDADERO;0;3;2,5;1,00;2,5;2,5;3;14,5;115921,8645;;;;;;;;;;;;;;;;;;
1183;15755638;Mancini;673;France;Female;43;5;168069,73;1;1;1;146992,24;1;0;28663,4868;13;FALSO;1;3;2,5;1,00;2,5;3;2;15;95544,956;;;;;;;;;;;;;;;;;;
1184;15600992;Madukaego;652;France;Male;36;1;0;2;1;1;151314,98;0;6;59012,8422;11;VERDADERO;0;3;2,5;2,00;2,5;3;3;16;98354,737;;;;;;;;;;;;;;;;;;
1185;15755649;Winter-Irving;584;Germany;Male;47;7;130538,77;1;1;0;92915,84;0;2;18118,5888;4;VERDADERO;0;1;3;1,00;2,5;2,5;2;12;60395,296;;;;;;;;;;;;;;;;;;
1186;15795228;Stewart;756;France;Male;37;3;132623,6;1;1;1;58974;0;5;19166,55;7;VERDADERO;0;3;3;1,00;2;3;3;15;38333,1;;;;;;;;;;;;;;;;;;
1187;15589257;Grant;670;France;Female;35;3;103465,02;2;1;1;174627,06;0;6;34052,2767;14;VERDADERO;0;3;2,5;2,00;2,5;3;3;16;113507,589;;;;;;;;;;;;;;;;;;
1188;15719302;Brennan;765;France;Female;50;9;126547,8;1;1;1;79579,94;1;0;15518,0883;5;FALSO;1;3;3;1,00;2;2;1;13;51726,961;;;;;;;;;;;;;;;;;;
1189;15639882;She;528;France;Male;30;2;128262,72;2;1;0;50771,16;0;5;6600,2508;10;VERDADERO;0;1;3;2,00;3,5;2,5;3;15;33001,254;;;;;;;;;;;;;;;;;;
1190;15791279;Murray;701;France;Male;40;5;169742,64;1;1;1;153537,55;1;0;59879,6445;10;FALSO;1;3;2,5;1,00;2,5;3;2;15;99799,4075;;;;;;;;;;;;;;;;;;
1191;15636935;Rischbieth;797;France;Female;29;1;0;2;1;1;132975,39;0;6;43217,00175;8;VERDADERO;0;3;2,5;2,00;2;3;3;15,5;86434,0035;;;;;;;;;;;;;;;;;;
1192;15686909;Lung;639;Germany;Male;27;3;150795,81;1;0;1;85208,93;0;6;22154,3218;10;VERDADERO;0;3;3;1,00;2,5;3;3;15,5;55385,8045;;;;;;;;;;;;;;;;;;
1193;15589572;Otutodilichukwu;785;Spain;Female;61;4;129855,72;2;1;0;170214,82;1;0;55319,8165;8;FALSO;1;1;2,5;2,00;2;3;1;12,5;110639,633;;;;;;;;;;;;;;;;;;
1194;15779947;Thomas;363;Spain;Female;28;6;146098,43;3;1;0;100615,14;1;0;32699,9205;4;FALSO;1;1;3;3,00;3;2,5;3;16,5;65399,841;;;;;;;;;;;;;;;;;;
1195;15573769;Fiorentini;764;France;Female;24;7;0;2;1;0;186105,99;0;3;48387,5574;1;VERDADERO;0;1;2,5;2,00;2;2,5;3;13;120968,8935;;;;;;;;;;;;;;;;;;
1196;15578866;Hughes;676;France;Female;43;2;0;1;1;1;55119,53;0;4;3582,76945;11;VERDADERO;0;3;3;1,00;2,5;2,5;2;14;35827,6945;;;;;;;;;;;;;;;;;;
1197;15739131;Whitworth;718;Germany;Male;28;4;65643,3;1;1;0;28760,99;0;4;9347,32175;4;VERDADERO;0;1;3,5;1,00;2,5;3;3;14;18694,6435;;;;;;;;;;;;;;;;;;
1198;15813444;McIntosh;590;Spain;Female;34;6;0;2;1;0;171021,44;0;4;66698,3616;2;VERDADERO;0;1;2,5;2,00;2,5;2,5;3;13,5;111163,936;;;;;;;;;;;;;;;;;;
1199;15678058;Ayers;584;France;Male;38;9;104584,16;1;1;0;176678,72;0;2;57420,584;11;VERDADERO;0;1;2,5;1,00;2,5;2;3;12;114841,168;;;;;;;;;;;;;;;;;;
1200;15769169;Trentino;645;France;Male;41;7;0;1;0;1;28667,56;0;5;5590,1742;7;VERDADERO;0;3;3,5;1,00;2,5;2,5;2;14,5;18633,914;;;;;;;;;;;;;;;;;;
1201;15804602;Boyd;772;Germany;Male;30;6;99785,28;2;0;0;197238,03;0;3;64102,35975;5;VERDADERO;0;1;2;2,00;2;2,5;3;12,5;128204,7195;;;;;;;;;;;;;;;;;;
1202;15651052;McMasters;399;Germany;Male;46;2;127655,22;1;1;0;139994,68;1;0;18199,3084;13;FALSO;1;1;2,5;1,00;3;2,5;2;13;90996,542;;;;;;;;;;;;;;;;;;
1203;15724334;Alekseyeva;529;France;Male;22;5;0;1;1;0;151169,83;0;6;58956,2337;11;VERDADERO;0;1;2,5;1,00;3,5;3;5;16;98260,3895;;;;;;;;;;;;;;;;;;
1204;15569451;Miller;463;France;Male;35;2;101257,16;1;1;1;118113,64;0;6;23032,1598;12;VERDADERO;0;3;3;1,00;3,5;2,5;3;16;76773,866;;;;;;;;;;;;;;;;;;
1205;15650098;Baranova;630;France;Female;40;7;0;2;1;1;34453,17;0;6;13436,7363;5;VERDADERO;0;3;3,5;2,00;2,5;2,5;2;15,5;22394,5605;;;;;;;;;;;;;;;;;;
1206;15724307;Mitchell;780;France;Male;76;10;121313,88;1;0;1;64872,33;0;2;16866,8058;11;VERDADERO;0;3;3;1,00;2;2;1;12;42167,0145;;;;;;;;;;;;;;;;;;
1207;15599268;Yobachi;584;Spain;Male;32;5;0;2;1;0;10956,82;0;6;2136,5799;11;VERDADERO;0;1;4;2,00;2,5;3;3;15,5;7121,933;;;;;;;;;;;;;;;;;;
1208;15594864;Huang;752;Germany;Male;30;4;81523,38;1;1;1;36885,85;0;6;11987,90125;12;VERDADERO;0;3;3,5;1,00;2;3;3;15,5;23975,8025;;;;;;;;;;;;;;;;;;
1209;15616451;Genovese;697;France;Female;47;6;128252,66;1;1;1;168053,4;0;4;32770,413;13;VERDADERO;0;3;2,5;1,00;2,5;2,5;2;13,5;109234,71;;;;;;;;;;;;;;;;;;
